field,venue_db_id,jif,unscaled_rank,scaled_rank,normed_rank,prob_upset_top,n_selected,frac_selected,ordinal_porc,ordinal_jif,subset_ordinal_porc,subset_ordinal_jif
Philosophy,1647169,4.1,-0.10278450927756223,-0.329556357000727,0.2945116234502276,5.732130970355703e-05,1,0.008695652173913,302.0,50.0,302.0,
Philosophy,1669693,1.1,0.0077144465292204745,0.02473470868631946,0.37881563513678346,0.0001431856561803,1,0.008695652173913,172.0,186.5,172.0,
Philosophy,1675837,0.2,0.10986111948182753,0.3522459811009312,0.45674736080301637,0.0004788399865553,1,0.008695652173913,79.0,298.0,79.0,
Philosophy,1647164,2.9,-0.07262336771204794,-0.2328511627338323,0.31752274796678076,7.768125487757027e-05,1,0.008695652173913,267.0,69.5,267.0,
Philosophy,1647159,3.2,0.03960595167584104,0.12698794051338957,0.40314692227839033,0.0002502499109199,1,0.008695652173913,133.0,63.0,133.0,
Philosophy,1647133,21.7,-0.0389715829081189,-0.12495397390154343,0.3431970218879263,0.0001050708697841,1,0.008695652173913,223.0,11.0,223.0,
Philosophy,1647129,4.8,-0.22775568019367526,-0.7302494585848591,0.19916618804342648,1.5345893720082762e-05,1,0.008695652173913,377.0,45.0,377.0,
Philosophy,1647128,35.5,0.032166625728611314,0.10313534662602243,0.3974711670912372,0.0002239170006689,1,0.008695652173913,140.0,10.0,140.0,
Philosophy,1647117,42.1,-0.05226077378147382,-0.16756289778017508,0.3330581740181674,8.946065397466473e-05,1,0.008695652173913,244.0,9.0,244.0,
Philosophy,1647105,3.8,-0.16877374611593793,-0.541136610159173,0.2441658319177084,2.827249073159078e-05,1,0.008695652173913,343.0,52.0,343.0,
Philosophy,1647101,4.0,-0.12736126181922464,-0.4083564124902823,0.2757610495795311,4.470305874697854e-05,1,0.008695652173913,321.0,51.0,321.0,
Philosophy,1663468,3.2,-0.08514161706222881,-0.27298822892083713,0.30797208179253904,6.572861301039003e-05,1,0.008695652173913,284.0,63.0,284.0,
Philosophy,1669435,,-0.07275047600983114,-0.23325870807170881,0.31742577203299444,7.46204468556143e-05,1,0.008695652173913,268.0,,268.0,
Philosophy,1683770,,0.07751528429141911,0.24853603799354185,0.432069447351311,0.0003504706767852,1,0.008695652173913,101.0,,101.0,
Philosophy,1653030,0.4,-0.019131424310651436,-0.06134078514718153,0.35833386141778323,0.0001275356612906,1,0.008695652173913,204.0,278.0,204.0,
Philosophy,1650978,1.0,-0.11036191199719453,-0.35385166427379044,0.2887305240473823,5.023659559016456e-05,1,0.008695652173913,306.0,198.0,306.0,
Philosophy,1712261,,-0.10535283515866219,-0.33779113991612053,0.2925521463355864,5.484121080275376e-05,1,0.008695652173913,303.0,,303.0,
Philosophy,1697923,,-0.013616680104327978,-0.0436589474539255,0.3625412772854155,0.0001108912886933,1,0.008695652173913,198.0,,198.0,
Philosophy,1663094,,-0.16525357492916212,-0.5298499405969338,0.24685150935874728,2.913710880191095e-05,1,0.008695652173913,339.0,,339.0,
Philosophy,1658996,0.6,-0.11264918049067521,-0.36118529730363247,0.2869854766992258,5.0356196700429555e-05,1,0.008695652173913,307.0,256.5,307.0,
Philosophy,1671280,0.3,-0.09386288357816638,-0.30095108870998466,0.3013182835831985,5.927858893588679e-05,1,0.008695652173913,290.0,287.0,290.0,
Philosophy,1665123,1.4,0.03630868302038498,0.11641595983476023,0.4006313059702205,0.0002475233373501,1,0.008695652173913,135.0,149.5,135.0,
Philosophy,1648737,3.5,-0.022752913285837353,-0.0729523083423514,0.3555708846397885,0.0001289493174217,1,0.008695652173913,209.0,55.0,209.0,
Philosophy,1681498,,-0.054520971802834835,-0.17480973518062945,0.331333779800905,9.354598901628905e-05,1,0.008695652173913,249.0,,249.0,
Philosophy,1648727,3.4,-0.16397931829665488,-0.5257643115790525,0.24782369000293727,2.990157721934065e-05,1,0.008695652173913,337.0,57.5,337.0,
Philosophy,1669205,1.8,0.035060385348335166,0.11241356262388957,0.3996789304408372,0.0002227526422984,1,0.008695652173913,136.0,120.0,136.0,
